lang,doc_key,from_id,to_id,text,author_name,year_birth,year_death,from_placename,from_latitude,from_longitude,from_type,from_type_d,to_placename,to_latitude,to_longitude,to_type,to_type_d,text_long,id_short
cs,0001_0001-0001-0000-0008-0000,Q1497,Q668,od břehů širých otce Missisipi až k Indu,"Albert, Eduard",1841,1900,Mississippi River,29.1536,-89.2508,river,river,India,22.8,83,country,country," plemene lidského jsem poznal , pletě# všech pásem : nejlibější v celém světě –# od břehů širých otce Missisipi# až k Indu , rumem bohatému v letě –# jsem v Bankoku zřel lidské poupě# na dvoře krále Siamského skvělém .# Ač příroda tam krásy dává skoupě ,",cs-9
cs,0036_0001-0000-0000-0001-0002,Q37200,Q584,"od Pyramid k Rýnu , od Gibraltaru k bouřným vlnám Baltu","Breska, Alfons",1873,1946,Great Pyramid of Giza,29.97915,31.13422,default,default,Rhine,47.6662,9.1786,river,river," pak do Španěl , kde pikle s Anglií# se jali osnovat . A vojáci# šli za ním slepě přes moře a řeky ,# přes hory , lesy , od Pyramid k Rýnu ,# od Gibraltaru k bouřným vlnám Baltu ,# a byli by šli třeba na kraj světa# na jeho pokyn . Bez váhání šli ,# rytíři krásní , zhrdajíce smrtí ,",cs-1412
cs,0036_0001-0000-0000-0001-0002,Q1410,Q545,od Gibraltaru k bouřným vlnám Baltu,"Breska, Alfons",1873,1946,Gibraltar,36.14,-5.35,region,land,Baltic Sea,58,20,sea,sea," se jali osnovat . A vojáci# šli za ním slepě přes moře a řeky ,# přes hory , lesy , od Pyramid k Rýnu ,# od Gibraltaru k bouřným vlnám Baltu ,# a byli by šli třeba na kraj světa# na jeho pokyn . Bez váhání šli ,# rytíři krásní , zhrdajíce smrtí ,",cs-1412
cs,0063_0001-0000-0000-0018-0000,Q155975,Q1887287,od Hor Kuten k Malešovu,"Chalupa, František",1857,1890,Kutná Hora,49.948444972662,15.268225887967,city,city,Malešov,49.911073893165,15.224396689347,city,city,,cs-2509
cs,0063_0001-0000-0000-0018-0000,Q155975,Q1085,Od Hor Kuten veden k Praze,"Chalupa, František",1857,1890,Kutná Hora,49.948444972662,15.268225887967,city,city,Prague,50.0875,14.4213888888889,city,city," že Bůh splnil vřelé tužby ,# věren vždycky svaté víře ,# vylil hněv svůj na kacíře .# Od Hor Kuten veden k Praze (# pozoroval Roháč hory# kolem Kaňku , kovkopové# kam metali druhů sbory ,",cs-2509
cs,0067_0001-0003-0000-0012-0000,Q545,Q13924,od Baltu až k Adrii,"Crha, Václav Antonín",1836,1905,Baltic Sea,58,20,sea,sea,Adriatic Sea,42.775833,15.426111,sea,sea," Zářívalo slunce slávy# nad vítěznou Čechií ,# zářívalo českým vlastem# od Baltu až k Adrii :# slunci dána vlast je velká ,# slunci Čechu oslava :# jenom svorně , svorně hájí",cs-3070
cs,0067_0001-0003-0000-0024-0000,Q617511,Q157290,od Sněžky zní po Šumavu,"Crha, Václav Antonín",1836,1905,Sněžka,50.736111111111,15.740277777778,mountain,mountain,Bohemian Forest,49,13.5,mountain,mountain," slavný český bílý lev .# Viň se zdobně kol práporu ,# vínek z českých slíčných děv ,# od Sněžky zní po Šumavu ,# z pod práporu český zpěv .# Marně mlátil hrom i s blesky# do pralesů Šumavy :",cs-3082
cs,0067_0001-0004-0000-0001-0000,Q214644,Q157290,z vlasti a čistit od Krkonoš k Šumavě,"Crha, Václav Antonín",1836,1905,Giant Mountains,50.75,15.583333,mountain,mountain,Bohemian Forest,49,13.5,mountain,mountain," za drahý domov žití v oběť klást ,# dovedli vrahův pikle podvraceti ,# půl světem jako hříčkou třást .# Dovedli vymítati smetí z vlasti# a čistit od Krkonoš k Šumavě ;# hoj ! byli bychom špatní jejich vňuci ,# když bychom nešli taktéž po slávě .# My nejsme bohudík již žádná sekta ,",cs-3088
cs,0067_0001-0004-0000-0001-0000,Q214644,Q157290,od Krkonoš k Šumavě,"Crha, Václav Antonín",1836,1905,Giant Mountains,50.75,15.583333,mountain,mountain,Bohemian Forest,49,13.5,mountain,mountain," dovedli vrahův pikle podvraceti ,# půl světem jako hříčkou třást .# Dovedli vymítati smetí z vlasti# a čistit od Krkonoš k Šumavě ;# hoj ! byli bychom špatní jejich vňuci ,# když bychom nešli taktéž po slávě .# My nejsme bohudík již žádná sekta ,",cs-3088
cs,0085_0001-0000-0000-0005-0000,Q214644,Q13924,"Od Krkonoš , ode Tatry k modrým vlnám Adrie","Dostál-Lutinov, Karel",1871,1923,Giant Mountains,50.75,15.583333,mountain,mountain,Adriatic Sea,42.775833,15.426111,sea,sea," Nerozborný , věrný pluk !# Vírou roste z běd a ran# Slovan – KŘESŤAN – Rakušan .# Od Krkonoš , ode Tatry# k modrým vlnám Adrie# národy chcem jako bratry# v klínu mocné Austrie .# Zvonů hlas zní , uragan :",cs-3911
cs,0085_0001-0000-0000-0005-0000,Q194263,Q13924,ode Tatry k modrým vlnám Adrie,"Dostál-Lutinov, Karel",1871,1923,Tatra Mountains,49.177777777778,19.908333333333,mountain,mountain,Adriatic Sea,42.775833,15.426111,sea,sea," Nerozborný , věrný pluk !# Vírou roste z běd a ran# Slovan – KŘESŤAN – Rakušan .# Od Krkonoš , ode Tatry# k modrým vlnám Adrie# národy chcem jako bratry# v klínu mocné Austrie .# Zvonů hlas zní , uragan :",cs-3911
