"","id","lat","lon","placename","type"
"1","Q1497",29.1536,-89.2508,"Mississippi River","default"
"2","Q584",47.6662,9.1786,"Rhine","river"
"3","Q1410",36.14,-5.35,"Gibraltar","default"
"4","Q155975",49.948444972662,15.268225887967,"Kutná Hora","default"
"5","Q545",58,20,"Baltic Sea","default"
"6","Q617511",50.736111111111,15.740277777778,"Sněžka","mountain"
"7","Q214644",50.75,15.583333,"Giant Mountains","mountain"
"8","Q194263",49.177777777778,19.908333333333,"Tatra Mountains","mountain"
"9","Q3967",50.428611111111,7.4613888888889,"Neuwied","default"
"10","Q157290",49,13.5,"Bohemian Forest","mountain"
"11","Q106274",51.21006,16.1619,"Legnica","default"
"12","Q37",55.2,24,"Lithuania","country"
"13","Q487971",47.724722222222,12.876944444444,"Bad Reichenhall","default"
"14","Q14960",49.195277777778,16.608333333333,"Brno","default"
"15","Q45898788",48.8081056,14.7723794,"Novohradsko","default"
"16","Q754194",45.4340277777778,12.3390277777778,"St Mark's Campanile","default"
"17","Q76925",45.413055555556,12.297222222222,"Venetian Lagoon","default"
"18","Q549849",48.718611111111,18.258055555556,"Bánovce nad Bebravou","default"
"19","Q213230",47.8179,18.7417,"Hron","river"
"20","Q1780",48.144722222222,17.112777777778,"Bratislava","default"
"21","Q26119",49,21.233333333333,"Prešov","default"
"22","Q1653",48.0951111111111,8.15488888888889,"Danube","river"
"23","Q1085",50.0875,14.4213888888889,"Prague","default"
"24","Q373804",49.184229941699,15.452771068011,"Telč","default"
"25","Q1015282",48.4939,13.7825,"Burg Falkenstein an der Ranna","default"
"26","Q616317",49.907353061714,12.97116813512,"Bezdružice","default"
"27","Q191687",30.129527777778,31.288888888889,"Heliopolis","default"
"28","Q1741",48.2083333333333,16.3725,"Vienna","default"
"29","Q1008750",49.753048391098,13.004146255782,"Stříbro","default"
"30","Q934703",50.003119975612,14.977096015946,"Kouřim","default"
"31","Q32530",51.5450653,14.72614,"Lusatia","default"
"32","Q384403",50.53355947692,14.131899491403,"Litoměřice","default"
"33","Q750224",49.261497897079,13.902396874574,"Strakonice","default"
"34","Q10396708",49.3578,14.0308,"Šamonice","default"
"35","Q744598",50.089444444444,14.397222222222,"Hradčany","default"
"36","Q954596",49.607899638305,15.580727658514,"Havlíčkův Brod","default"
"37","Q220",41.893055555556,12.482777777778,"Rome","default"
"38","Q327764",49.013013368826,13.997533003713,"Prachatice","default"
"39","Q43266",49.5,17,"Moravia","default"
"40","Q4198",50.58333333,13,"Ore Mountains","mountain"
"41","Q392483",49.12,20.06194444,"Štrbské Pleso","default"
"42","Q11863119",50.045278,14.391667,"Děvín","mountain"
"43","Q12130",48,-3,"Brittany","default"
"44","Q10817265",49.8114,13.9892,"Plešivec","mountain"
"45","Q10817953",49.7047,13.8769,"Tok","mountain"
"46","Q223353",45.334722222222,14.306944444444,"Opatija","default"
"47","Q215573",49.41666667,20.25,"Beskids","mountain"
"48","Q131574",50.34769,14.474382,"Vltava","river"
"49","Q157728",50.05,11.85,"Fichtelgebirge","mountain"
"50","Q616334",50.064427188,14.417644214,"Vyšehrad","default"
"51","Q1894568",50.62579398555,15.089464953591,"Sychrov","default"
"52","Q12039461",50.0845833,14.4227778,"Můstek","default"
"53","Q641",45.439722222222,12.331944444444,"Venice","default"
"54","Q393309",43.158333333333,19.130277777778,"Žabljak","default"
"55","Q3489993",49.64,13.74,"Brdy","mountain"
"56","Q2662391",52.5772,27.5872,"Morač","river"
"57","Q3560285",42.6175,19.09083333,"Vinići","default"
"58","Q1644",50.8875,14.2330555555556,"Elbe","river"
"59","Q548",54.3641,18.9522,"Vistula","river"
"60","Q13924",42.775833,15.426111,"Adriatic Sea","sea"
"61","Q111224",54.1667,9.66667,"Holstein","default"
"62","Q2978",49.0166666666667,12.0833333333333,"Regensburg","default"
"63","Q130321",40.1583333333333,24.3272222222222,"Mount Athos","mountain"
"64","Q1024",46.378333,13.836667,"Triglav","mountain"
"65","Q1015486",51.14559,17.07833,"Psie Pole","default"
"66","Q15288",60.8427777777778,31.4597222222222,"Lake Ladoga","default"
"67","Q102762",47.1,39.416666666667,"Azov","default"
"68","Q993",57,160,"Kamchatka Peninsula","default"
"69","Q3493793",48.996361111111,19.069169444444,"Lysec","mountain"
"70","Q3491363",49.5811,18.5874,"Beskydy Protected Landscape Area","default"
"71","Q3150",50.927222222222,11.586388888889,"Jena","default"
"72","Q645",59.9447,30.3094,"Neva","river"
"73","Q4018",42.816666666667,-1.65,"Navarre","default"
"74","Q15682",36.535,-6.2975,"Cádiz","default"
"75","Q7596262",50.616666666667,13.966666666667,"Stadice","default"
"76","Q36",52,19,"Poland","country"
"77","Q1229",47.0864,39.2386,"Don","river"
"78","Q233576",37.5977777777778,23.0744444444444,"Epidaurus","default"
"79","Q29",40.2,-3.5,"Spain","country"
"80","Q122443",38.0027,23.81,"Attica","default"
"81","Q23522",42,22,"Balkans","default"
"82","Q1286",46.5780555555556,8.615,"Alps","mountain"
"83","Q131210",46.3041,30.2736,"Dniester","river"
"84","Q179251",48.61619,16.940149,"Morava","river"
"85","Q201582",40,20.75,"Pindus","mountain"
"86","Q223",72,-40,"Greenland","default"
"87","Q617",45.406388888889,11.877777777778,"Padua","default"
"88","Q6247",45.156388888889,10.791111111111,"Mantua","default"
"89","Q79",27,29,"Egypt","country"
"90","Q4373",50.078333333333,14.319444444444,"Battle of White Mountain","default"
"91","Q3834",47.663333333333,9.1752777777778,"Constance","default"
"92","Q159",66.4166666666667,94.25,"Russia","country"
"93","Q649",55.755833333333,37.617777777778,"Moscow","default"
"94","Q207927",52.549722222222,30.25,"Berezina River","river"
"95","Q17252",29.65,91.1,"Tibet","default"
"96","Q378120",50.0872,14.4628,"Žižkov","default"
"97","Q660795",48.471111111111,16.8525,"Dürnkrut","default"
"98","Q58477",41.105555555556,14.213888888889,"Capua","default"
"99","Q13670",37.069166666667,15.2875,"Syracuse","default"
"100","Q32",49.77,6.13,"Luxembourg","country"
"101","Q131638",42.066666666667,19.5,"Shkodër","default"
"102","Q1453427",50.08771,14.4227,"Church of Our Lady before Týn","default"
"103","Q155045",50.529384,14.134078,"Ohře","river"
"104","Q858",35.216667,38.583333,"Syria","country"
"105","Q1013032",50.05444,14.36472,"Jinonice","default"
"106","Q2669840",49.98505094853,15.295164439588,"Hlízov","default"
"107","Q12029066",49.9744,15.2708,"Kaňk","default"
"108","Q35600",60,59,"Ural Mountains","mountain"
"109","Q38",42.5,12.5,"Italy","country"
"110","Q626",45.695,47.8975,"Volga","river"
"111","Q845990",49.1628335,20.000047,"Kriváň","mountain"
