"lang","doc_key","from_id","to_id","text","author_name","year_birth","year_death","from_placename","from_latitude","from_longitude","from_type","from_type_detail","to_placename","to_latitude","to_longitude","to_type","to_type_detail"
"cs","0001_0001-0001-0000-0008-0000","Q1497","Q668","od břehů širých otce Missisipi až k Indu","Albert, Eduard",1841,1900,"Mississippi River",29.1536,-89.2508,"river","river","India",22.8,83,"country","country"
"cs","0036_0001-0000-0000-0001-0002","Q584","Q545","od Pyramid k Rýnu , od Gibraltaru k bouřným vlnám Baltu","Breska, Alfons",1873,1946,"Rhine",47.6662,9.1786,"river","river","Baltic Sea",58,20,"sea","sea"
"cs","0036_0001-0000-0000-0001-0002","Q1410","Q545","od Gibraltaru k bouřným vlnám Baltu","Breska, Alfons",1873,1946,"Gibraltar",36.14,-5.35,"region","land","Baltic Sea",58,20,"sea","sea"
"cs","0063_0001-0000-0000-0018-0000","Q155975","Q1887287","od Hor Kuten k Malešovu","Chalupa, František",1857,1890,"Kutná Hora",49.948444972662,15.268225887967,"city","city","Malešov",49.911073893165,15.224396689347,"city","city"
"cs","0063_0001-0000-0000-0018-0000","Q155975","Q1085","Od Hor Kuten veden k Praze","Chalupa, František",1857,1890,"Kutná Hora",49.948444972662,15.268225887967,"city","city","Prague",50.0875,14.4213888888889,"city","city"
"cs","0067_0001-0003-0000-0012-0000","Q545","Q13924","od Baltu až k Adrii","Crha, Václav Antonín",1836,1905,"Baltic Sea",58,20,"sea","sea","Adriatic Sea",42.775833,15.426111,"sea","sea"
"cs","0067_0001-0003-0000-0024-0000","Q617511","Q157290","od Sněžky zní po Šumavu","Crha, Václav Antonín",1836,1905,"Sněžka",50.736111111111,15.740277777778,"mountain","mountain","Bohemian Forest",49,13.5,"mountain","mountain"
"cs","0067_0001-0004-0000-0001-0000","Q214644","Q157290","z vlasti a čistit od Krkonoš k Šumavě","Crha, Václav Antonín",1836,1905,"Giant Mountains",50.75,15.583333,"mountain","mountain","Bohemian Forest",49,13.5,"mountain","mountain"
"cs","0067_0001-0004-0000-0001-0000","Q214644","Q157290","od Krkonoš k Šumavě","Crha, Václav Antonín",1836,1905,"Giant Mountains",50.75,15.583333,"mountain","mountain","Bohemian Forest",49,13.5,"mountain","mountain"
"cs","0085_0001-0000-0000-0005-0000","Q214644","Q13924","Od Krkonoš , ode Tatry k modrým vlnám Adrie","Dostál-Lutinov, Karel",1871,1923,"Giant Mountains",50.75,15.583333,"mountain","mountain","Adriatic Sea",42.775833,15.426111,"sea","sea"
"cs","0085_0001-0000-0000-0005-0000","Q194263","Q13924","Od Krkonoš , ode Tatry k modrým vlnám Adrie","Dostál-Lutinov, Karel",1871,1923,"Tatra Mountains",49.177777777778,19.908333333333,"mountain","mountain","Adriatic Sea",42.775833,15.426111,"sea","sea"
"cs","0085_0001-0000-0000-0005-0000","Q194263","Q13924","ode Tatry k modrým vlnám Adrie","Dostál-Lutinov, Karel",1871,1923,"Tatra Mountains",49.177777777778,19.908333333333,"mountain","mountain","Adriatic Sea",42.775833,15.426111,"sea","sea"
"cs","0085_0001-0003-0000-0002-0000","Q3967","Q222","z Wiedu táh do Albánie","Dostál-Lutinov, Karel",1871,1923,"Neuwied",50.428611111111,7.4613888888889,"city","city","Albania",41,20,"country","country"
"cs","0091_0001-0000-0000-0006-0000","Q157290","Q1288","od Šumavy až do Karpat","Dvořák, Xaver",1858,1939,"Bohemian Forest",49,13.5,"mountain","mountain","Carpathian Mountains",47,25.5,"mountain","mountain"
"cs","0099_0001-0000-0000-0007-0000","Q157290","Q194263","od Šumavy až do Tater","Dvořák, Xaver",1858,1939,"Bohemian Forest",49,13.5,"mountain","mountain","Tatra Mountains",49.177777777778,19.908333333333,"mountain","mountain"
"cs","0154_0-0006-0000-0022-0000","Q106274","Q43266","Od Lehnice do Moravy","Furch, Vincenc",1817,1864,"Legnica",51.21006,16.1619,"city","city","Moravia",49.5,17,"region","land"
"cs","0154_0-0009-0000-0019-0000","Q37","Q270","Z Litvy zpátky do Varšavy","Furch, Vincenc",1817,1864,"Lithuania",55.2,24,"country","country","Warsaw",52.23,21.0111111111111,"city","city"
"cs","0163_0001-0002-0000-0006-0000","Q214644","Q157290","od našich Krkonoš až k Šumavě","Geisslová, Irma",1855,1914,"Giant Mountains",50.75,15.583333,"mountain","mountain","Bohemian Forest",49,13.5,"mountain","mountain"
"cs","0172_0001-0002-0000-0012-0000","Q214644","Q157290","Z Krkonošů až k Šumavě","Havelka, Matěj",1809,1892,"Giant Mountains",50.75,15.583333,"mountain","mountain","Bohemian Forest",49,13.5,"mountain","mountain"
"cs","0172_0001-0002-0000-0012-0000","Q157290","Q4198","Z Krkonošů až k Šumavě , Z Tater do Krušných","Havelka, Matěj",1809,1892,"Bohemian Forest",49,13.5,"mountain","mountain","Ore Mountains",50.58333333,13,"mountain","mountain"
"cs","0172_0001-0002-0000-0012-0000","Q194263","Q4198","Z Tater do Krušných","Havelka, Matěj",1809,1892,"Tatra Mountains",49.177777777778,19.908333333333,"mountain","mountain","Ore Mountains",50.58333333,13,"mountain","mountain"
"cs","0179_0001-0000-0000-0001-0008","Q487971","Q671415","z Reichenhallu do Waidringu","Havlíček Borovský, Karel",1821,1856,"Bad Reichenhall",47.724722222222,12.876944444444,"city","city","Waidring",47.566666666667,12.566666666667,"village","village"
"cs","0185_0001-0000-0000-0005-0000","Q14960","Q183111","z Brna po Jihlavu","Heyduk, Adolf",1835,1923,"Brno",49.195277777778,16.608333333333,"city","city","Jihlava",49.400277777778,15.590555555556,"city","city"
"cs","0185_0001-0000-0000-0010-0000","Q45898788","Q40","z Novohradska s cháskou dotěravou do Rakous","Heyduk, Adolf",1835,1923,"Novohradsko",48.8081056,14.7723794,"region","land","Austria",48,14,"country","country"
