doc_key;from_id;to_id;text;from_placename;to_placename;error
0001_0001-0001-0000-0008-0000;Q1497;Q668;od břehů širých otce Missisipi až k Indu;Mississippi River;India;
0036_0001-0000-0000-0001-0002;Q37200;Q584;od Pyramid k Rýnu , od Gibraltaru k bouřným vlnám Baltu;Giza pyramid complex;Rhine;
0036_0001-0000-0000-0001-0002;Q1410;Q545;od Gibraltaru k bouřným vlnám Baltu;Gibraltar;Baltic Sea;
0063_0001-0000-0000-0018-0000;Q155975;Q1887287;od Hor Kuten k Malešovu;Kutná Hora;Malešov;
0063_0001-0000-0000-0018-0000;Q155975;Q1085;Od Hor Kuten veden k Praze;Kutná Hora;Prague;
0067_0001-0003-0000-0012-0000;Q545;Q13924;od Baltu až k Adrii;Baltic Sea;Adriatic Sea;
0067_0001-0003-0000-0024-0000;Q617511;Q157290;od Sněžky zní po Šumavu;Sněžka;Bohemian Forest;
0067_0001-0004-0000-0001-0000;Q214644;Q157290;z vlasti a čistit od Krkonoš k Šumavě;Giant Mountains;Bohemian Forest;
0067_0001-0004-0000-0001-0000;Q214644;Q157290;od Krkonoš k Šumavě;Giant Mountains;Bohemian Forest;
0085_0001-0000-0000-0005-0000;Q214644;Q13924;Od Krkonoš , ode Tatry k modrým vlnám Adrie;Giant Mountains;Adriatic Sea;
0085_0001-0000-0000-0005-0000;Q194263;Q13924;Od Krkonoš , ode Tatry k modrým vlnám Adrie;Tatra Mountains;Adriatic Sea;repeated
0085_0001-0000-0000-0005-0000;Q194263;Q13924;ode Tatry k modrým vlnám Adrie;Tatra Mountains;Adriatic Sea;
0085_0001-0003-0000-0002-0000;Q3967;Q222;z Wiedu táh do Albánie;Neuwied;Albania;
0091_0001-0000-0000-0006-0000;Q157290;Q1288;od Šumavy až do Karpat;Bohemian Forest;Carpathian Mountains;
0099_0001-0000-0000-0007-0000;Q157290;Q194263;od Šumavy až do Tater;Bohemian Forest;Tatra Mountains;
0154_0-0006-0000-0022-0000;Q106274;Q43266;Od Lehnice do Moravy;Legnica;Moravia;
0154_0-0009-0000-0019-0000;Q37;Q270;Z Litvy zpátky do Varšavy;Lithuania;Warsaw;
0163_0001-0002-0000-0006-0000;Q214644;Q157290;od našich Krkonoš až k Šumavě;Giant Mountains;Bohemian Forest;
0172_0001-0002-0000-0012-0000;Q214644;Q157290;Z Krkonošů až k Šumavě;Giant Mountains;Bohemian Forest;
0172_0001-0002-0000-0012-0000;Q157290;Q4198;Z Krkonošů až k Šumavě , Z Tater do Krušných;Bohemian Forest;Ore Mountains;repeated
0172_0001-0002-0000-0012-0000;Q194263;Q4198;Z Tater do Krušných;Tatra Mountains;Ore Mountains;
0179_0001-0000-0000-0001-0008;Q487971;Q671415;z Reichenhallu do Waidringu;Bad Reichenhall;Waidring;
0185_0001-0000-0000-0005-0000;Q14960;Q183111;z Brna po Jihlavu;Brno;Jihlava;
0185_0001-0000-0000-0010-0000;Q45898788;Q40;z Novohradska s cháskou dotěravou do Rakous;Novohradsko;Austria;
0186_0001-0001-0000-0016-0000;Q754194;Q217527;z Campanily k Piazzettě;St Mark's Campanile;Piazza San Marco;
0186_0001-0001-0000-0043-0000;Q76925;Q41;od Lagun až k Řecku;Venetian Lagoon;Greece;
0192_0001-0002-0000-0007-0000;Q549849;Q12770704;z Bánovců k Machnáči;Bánovce nad Bebravou;Machnáč;
0192_0001-0004-0000-0010-0000;Q213230;Q1653;z Hronce až k Dunaji;Hron;Danube;
0192_0001-0005-0000-0010-0000;Q1780;Q1781;z Prešpurka k Budapešti;Bratislava;Budapest;
0208_0001-0001-0000-0031-0000;Q194263;Q1653;od Tater až po Dunaj krasší;Tatra Mountains;Danube;
0216_0001-0000-0000-0001-0004;Q26119;Q25409;od Prešova dolů ke Košici;Prešov;Košice;
0216_0001-0000-0000-0001-0012;Q1653;Q2978;od Dunaje k Řeznu;Danube;Regensburg;
0229_0001-0000-0000-0013-0000;Q1085;Q171150;z Prahy do Uher;Prague;Kingdom of Hungary;
0230_0001-0000-0000-0015-0000;Q373804;Q214956;Od Telče k Znojmu;Telč;Znojmo;
0236_0001-0000-0000-0003-0002;Q1015282;Q213;"z Falkenštýna ; na rychlo do Čech";Burg Falkenstein an der Ranna;Czech Republic;
0236_0001-0000-0000-0022-0000;Q616317;Q518360;z Bedružic , vzhůru již k Bílinské tvrzi;Bezdružice;Bílina;
0237_0001-0001-0000-0004-0000;Q191687;Q85;z Heljopole kráčí do Kahiry;Heliopolis;Cairo;
0237_0001-0002-0000-0006-0000;Q1741;Q1085;z Vídně k Praze;Vienna;Prague;
0237_0001-0002-0000-0007-0000;Q1008750;Q193719;Ze Stříbra juž tajnými jsem slovy do Chebu;Stříbro;Cheb;
0242_0001-0000-0000-0001-0006;Q934703;Q1113619;Od Kouřimi k Lipanům;Kouřim;Lipany;
0242_0001-0000-0000-0001-0012;Q32530;Q213;Z Lužic do Čech;Lusatia;Czech Republic;
0242_0001-0000-0000-0001-0012;Q32530;Q1085;z Lužic k Praze;Lusatia;Prague;
0242_0001-0000-0000-0001-0012;Q384403;Q63855;z Litoměřic do Roudnice;Litoměřice;Roudnice nad Labem;
0246_0001-0000-0000-0007-0000;Q750224;Q392571;od Strakonic k Štěkni;Strakonice;Štěkeň;
0247_0001-0000-0000-0004-0000;Q10396708;Q158245;od Šamonic k Písku;Šamonice;Písek;
0248_0001-0000-0000-0041-0001;Q744598;Q616334;z Hradčan k Vyšehradu;Hradčany;Vyšehrad;
0249_0001-0000-0000-0010-0000;Q954596;Q986068;Z Brodu cizák v český kraj k Domažlicům;Havlíčkův Brod;Domažlice;
0249_0001-0000-0000-0011-0000;Q220;Q1085;z Říma do Prahy;Rome;Prague;
0249_0001-0000-0000-0026-0000;Q327764;Q158245;od Prachatic k Písku;Prachatice;Písek;
0250_0001-0000-0000-0013-0000;Q43266;Q4198;od Moravy ku hor Krušných davu;Moravia;Ore Mountains;
0250_0001-0000-0000-0013-0000;Q4198;Q157290;od Moravy ku hor Krušných davu , od Krkonoš milou po Šumavu;Ore Mountains;Bohemian Forest;repeated
0250_0001-0000-0000-0013-0000;Q214644;Q157290;od Krkonoš milou po Šumavu;Giant Mountains;Bohemian Forest;
0250_0001-0000-0000-0016-0002;Q1653;Q392483;od Dunajských břehů ku Strbskému plesu;Danube;Štrbské Pleso;
0250_0001-0000-0000-0016-0002;Q392483;Q182445;od Dunajských břehů ku Strbskému plesu , od Moravy družné k Prutu;Štrbské Pleso;Prut;repeated
0250_0001-0000-0000-0016-0002;Q43266;Q182445;od Moravy družné k Prutu;Moravia;Prut;
