id,placename,type,latitude,longitude
Q1497,Mississippi River,river,29.1536,-89.2508
Q213230,Hron,river,47.8179,18.7417
Q1653,Danube,river,48.0951111111111,8.15488888888889
Q131574,Vltava,river,50.34769,14.474382
Q2662391,Morač,river,52.5772,27.5872
Q584,Rhine,river,47.6662,9.1786
Q1644,Elbe,river,50.8875,14.2330555555556
Q645,Neva,river,59.9447,30.3094
Q1229,Don,river,47.0864,39.2386
Q131210,Dniester,river,46.3041,30.2736
Q179251,Morava,river,48.61619,16.940149
Q207927,Berezina River,river,52.549722222222,30.25
Q155045,Ohře,river,50.529384,14.134078
Q548,Vistula,river,54.3641,18.9522
Q626,Volga,river,45.695,47.8975
Q40059,Jordan River,river,31.761388888889,35.558333333333
Q40855,Dnieper,river,46.4964,32.2872
Q19686,River Thames,river,51.6944444444444,-2.02972222222222
Q602,Rhône,river,43.3342,4.8442
Q279943,Lužnice,river,49.188915,14.701045
Q753919,Timok,river,44.213611111111,22.670277777778
Q149214,Strumica,river,41.4451,23.2775
Q5089,Ganges,river,30.1451,78.5974
Q5622,Neman,river,55.3369,21.2492
Q34589,Euphrates,river,31.0043,47.442
Q552,Oder,river,53.6017,14.5897
Q13696,Adige,river,45.1596,12.3311
Q3392,Nile,river,31.4653,30.3667
Q1471,Seine,river,49.434722222222,0.1175
Q936301,Barrow,river,52.242138888889,-6.9688611111111
Q550995,Humber,river,53.5425,0.0925
Q7348,Indus River,river,31.2421,81.7684
Q1433715,River Wear,river,54.916111111111,-1.3577777777778
Q13712,Tiber,river,41.740555555556,12.233333333333
Q289273,Luni River,river,24.648265,71.267767
Q896037,River Boyne,river,53.722083333333,-6.2435277777778
Q192820,River Shannon,river,52.6767,-8.7545
Q19709,River Avon,river,51.9964,-2.1636
Q182343,Niagara River,river,42.8842,-78.9142
Q14294,Tagus River,river,38.8525,-9.0137
Q14299,Douro,river,41.14,-8.66
Q1413986,River Feale,river,52.48294,-9.68903
Q503262,River Tweed,river,55.764164,-1.986574
Q1546553,Koyukuk River,river,64.9233,-157.5539
Q179444,Potomac River,river,38,-76.335
Q3140,Hudson River,river,40.6001,-74.042
Q6726033,Mad River,river,43.3873,-71.0673
Q10965,Ebro,river,40.728527124206,0.86929321289062
Q208267,Sambre,river,50.4619,4.8708
Q171009,Drava,river,45.543888888889,18.926666666667
Q913286,Mugnone,river,43.790094,11.196478
Q1469,Loire,river,47.27,-2.1844444444444
Q14309,Guadalquivir,river,36.7913,-6.3567
Q2887644,Bastan,river,42.883333333333,-0.016666666666667
Q31424,Llobregat,river,41.302248,2.131948
Q572191,Volturno,river,41.024189,13.9277981
Q131792,Orinoco River,river,2.318,-63.3617
Q3783,Amazon,river,0.707777777777778,-50.0894444444444
Q16512,Manzanares,river,40.30406,-3.539275
Q643,Po,river,44.97,12.546944444444
Q4498825,Khodynka,river,55.7969444444444,37.5113888888889
Q6862,Amur River,river,53.3333,121.4814
Q4528198,Shuya,river,59.48678,39.63471
Q590269,Moyka River,river,59.92625,30.273527777778
Q172089,Oka,river,56.3328,43.9844
Q78707,Yenisey,river,51.7279,94.4518
Q8542,Panj River,river,37.1109,68.3147
Q790987,Avijõgi,river,58.94091,27.05566
Q85416,Kubra,river,53.1224,48.4551
Q7355,Yellow River,river,36.1241944444444,116.097666666667
Q179751,Aras River,river,40.0184,48.4535
Q156557,Kura River,river,39.2864,49.4278
Q182445,Prut,river,45.4688,28.2072
Q202760,Soča,river,45.724722222222,13.556111111111
Q12770704,Machnáč,river,48.744311,18.2337
Q157736,Morača,river,42.257222222222,19.146111111111
Q730378,Tara,river,43.348333333333,18.839444444444
Q1066857,Sitnica (Ibar),river,42.4068055555556,21.1911944444444
Q372490,Bojana,river,41.875,19.375
Q204347,Maritsa,river,40.738055555556,26.030555555556
Q973,Ob,river,66.3802,71.7787
Q1650,Weser,river,51.42139,9.64806
Q115457,Arno,river,43.7255555555556,11.6716666666667
Q216373,River Tyne,river,55.0119,-1.4158
Q19714,River Trent,river,53.7,-0.7
Q1540243,River Stour,river,51.313217,1.364409
Q19682,River Severn,river,52.494444444444,-3.7375
Q422487,James River,river,36.9416666666667,-76.4436111111111
Q41986,Meuse,river,51.715,4.6677777777778
Q370750,Savannah River,river,34.4437149,-82.855974
Q41983,Marne,river,48.816388888889,2.4108333333333
Q19721,River Clyde,river,55.937857,-4.672852
Q291233,Churchill River,river,53.349444444444,-60.1775
Q5077,Garonne,river,45.0386,-0.6111
Q19720,River Spey,river,57.674187,-3.098504
Q60067,Kuskokwim River,river,60.083055555556,-162.33388888889
Q596106,Sabine River,river,29.9855,-93.7904
Q686021,Allegheny River,river,40.4433333333333,-80.014444444444507
Q838143,Gila River,river,32.7205,-114.5575
Q2210898,Saco River,river,43.4611,-70.3769
Q17812,Guadalete,river,36.578888888889,-6.2415361111111
Q14305,Guadiana,river,37.1685,-7.3959
Q14556,Sil,river,42.4538,-7.7306
Q851323,Tanaro,river,45.006,8.769
Q1684,Spree,river,52.5361,13.2089
Q214874,Jhelum River,river,31.17,72.15
Q1139404,Msta,river,58.415555555556,31.338333333333
Q79082,Kama,river,55.5903,51.5039
Q202796,Desna,river,50.5503,30.5378
Q4317399,Nepryadva,river,53.6708,38.6515
Q156237,Western Bug,river,52.5067,21.0844
Q124653,Tobol,river,51.4667,61.0085
Q78898,Onega,river,63.935,37.988055555556
Q14383,Sava,river,44.831666666667,20.449722222222
